exp_label,exp_folder,marker
linear,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_t42_co2_300,*
reffice_50,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_reffice_50_t42_co2_300,p
a_surf_20,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_linear_coeff_a_surf_20_t42_co2_300,x
a_top_10,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_linear_coeff_a_top_10_t42_co2_300,^
sc_park_b_m0.3,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_sc_park_b_-0.3_t42_co2_300,+
sc_park_a_1,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_sc_park_a_1_t42_co2_300,P
freezedry,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_adj_polar2_t42_co2_300,3
sundqvist,cosp_qflux_sundqvist_cld_sc_surfres_0.2_lev_40_t42_co2_300,d
Tmax_0,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_Tmax_0_t42_co2_300,<
Tmin_m35,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_Tmin_m35_t42_co2_300,>
qcl_T_0.2,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_qcl_temp_0.2_t42_co2_300,2
reffliq_12,cosp_qflux_linear_cld_sc_surfres_0.2_lev_40_reffliq_12_t42_co2_300,X
